match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",2,0.4,Southern Brave,Manchester Originals,JM Vince,Q de Kock,MT Stanley,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",2,0.5,Southern Brave,Manchester Originals,Q de Kock,JM Vince,MT Stanley,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",2,1.1,Southern Brave,Manchester Originals,JM Vince,Q de Kock,SA Abbott,4,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",2,1.2,Southern Brave,Manchester Originals,JM Vince,Q de Kock,SA Abbott,1,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",2,1.3,Southern Brave,Manchester Originals,Q de Kock,JM Vince,SA Abbott,0,2,,2,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",2,1.4,Southern Brave,Manchester Originals,Q de Kock,JM Vince,SA Abbott,0,2,,2,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",2,1.5,Southern Brave,Manchester Originals,Q de Kock,JM Vince,SA Abbott,4,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",2,1.6,Southern Brave,Manchester Originals,Q de Kock,JM Vince,SA Abbott,0,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",2,1.7,Southern Brave,Manchester Originals,Q de Kock,JM Vince,SA Abbott,0,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",2,2.1,Southern Brave,Manchester Originals,JM Vince,Q de Kock,MT Stanley,6,0,,,,,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",2,2.2,Southern Brave,Manchester Originals,JM Vince,Q de Kock,MT Stanley,0,1,,,,1,,,,,
1299188,2022,2022-08-18,"The Rose Bowl, Southampton",2,2.3,Southern Brave,Manchester Originals,Q de Kock,JM Vince,MT Stanley,4,0,,,,,,,,,
